,Bid No,Items,Quantity,Department Name and Adress,Start date,Start Time,End Date,End Time
0,GEM/2019/B/229060,Air Conditioner,Quantity Required:,"Jharkhand
State Public Service Commission
Office Jharkhand Public Service Commission",07-05-2019,06:26PM,15-05-2019,09:00PM
1,GEM/2019/B/229751,Desktop Computers,Quantity Required:,"Haryana
Technical Education Department Haryana
Ch Devi Lal State Institute Of Engg And Tech N/a",08-05-2019,02:41PM,15-05-2019,09:00PM
2,GEM/2019/B/229310,Compatible Cartridge,Quantity Required:,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019,06:22PM,15-05-2019,09:00PM
3,GEM/2019/B/230016,Line Intractive UPS With AVR,Quantity Required:,"Ministry Of Railways
Na
Secr N/a",08-05-2019,06:25PM,15-05-2019,09:00PM
4,GEM/2019/B/229329,Insecticides For Mosquitoes Cockroaches And Other Insects (Liquid Vaporizer And Spray),Quantity Required:,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019,06:52PM,15-05-2019,09:00PM
5,GEM/2019/RA/7898,Computer Workstation,Quantity Required:,"Ministry Of Defence
Department Of Defence Research & Development
Advanced Systems Laboratory Hyderabad Defence Research And Development Organisation (drdo)",01-05-2019,12:22PM,15-05-2019,09:00PM
6,GEM/2019/B/229333,Insecticides For Mosquitoes Cockroaches And Other Insects (Liquid Vaporizer And Spray),Quantity Required:,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019,06:59PM,15-05-2019,09:00PM
7,GEM/2019/B/229335,Hospital Biohazard Bags Or Bio Medical Waste Collection Bags,Quantity Required:,"Ministry Of Home Affairs
Central Police Organisation
Hyderabad Sardar Vallabhbhai Patel National Police Academy",07-05-2019,06:59PM,15-05-2019,09:00PM
8,GEM/2019/B/230029,Microcontroller Educational Kit,Quantity Required:,"Niti Aayog - National Institution For Transforming India
Na
India N/a",08-05-2019,06:25PM,15-05-2019,09:00PM
9,GEM/2019/B/230032,Air Conditioner,Quantity Required:,"Ministry Of Human Resource Development
Department Of Higher Education
South West Delhi Jawaharlal Nehru University (jnu)",08-05-2019,06:26PM,15-05-2019,09:00PM
